Source File,Target File,Feature Number,Accuracy
EQ.xlsx,JDT.xlsx,2,0.5627
EQ.xlsx,JDT.xlsx,5,0.6991
EQ.xlsx,JDT.xlsx,10,0.7813
EQ.xlsx,JDT.xlsx,20,0.7041
EQ.xlsx,LC.xlsx,2,0.4978
EQ.xlsx,LC.xlsx,5,0.6179
EQ.xlsx,LC.xlsx,10,0.6179
EQ.xlsx,LC.xlsx,20,0.7482
EQ.xlsx,ML.xlsx,2,0.5397
EQ.xlsx,ML.xlsx,5,0.7309
EQ.xlsx,ML.xlsx,10,0.8045
EQ.xlsx,ML.xlsx,20,0.8174
EQ.xlsx,PDE.xlsx,2,0.4723
EQ.xlsx,PDE.xlsx,5,0.5104
EQ.xlsx,PDE.xlsx,10,0.6279
EQ.xlsx,PDE.xlsx,20,0.6072
JDT.xlsx,EQ.xlsx,2,0.642
JDT.xlsx,EQ.xlsx,5,0.4506
JDT.xlsx,EQ.xlsx,10,0.6265
JDT.xlsx,EQ.xlsx,20,0.6142
JDT.xlsx,LC.xlsx,2,0.7569
JDT.xlsx,LC.xlsx,5,0.8423
JDT.xlsx,LC.xlsx,10,0.8032
JDT.xlsx,LC.xlsx,20,0.8625
JDT.xlsx,ML.xlsx,2,0.7197
JDT.xlsx,ML.xlsx,5,0.8174
JDT.xlsx,ML.xlsx,10,0.8024
JDT.xlsx,ML.xlsx,20,0.7524
JDT.xlsx,PDE.xlsx,2,0.7782
JDT.xlsx,PDE.xlsx,5,0.7615
JDT.xlsx,PDE.xlsx,10,0.7902
JDT.xlsx,PDE.xlsx,20,0.7488
LC.xlsx,EQ.xlsx,2,0.5679
LC.xlsx,EQ.xlsx,5,0.608
LC.xlsx,EQ.xlsx,10,0.6019
LC.xlsx,EQ.xlsx,20,0.5864
LC.xlsx,JDT.xlsx,2,0.6971
LC.xlsx,JDT.xlsx,5,0.7924
LC.xlsx,JDT.xlsx,10,0.7934
LC.xlsx,JDT.xlsx,20,0.7312
LC.xlsx,ML.xlsx,2,0.7325
LC.xlsx,ML.xlsx,5,0.8324
LC.xlsx,ML.xlsx,10,0.8684
LC.xlsx,ML.xlsx,20,0.8206
LC.xlsx,PDE.xlsx,2,0.7849
LC.xlsx,PDE.xlsx,5,0.8444
LC.xlsx,PDE.xlsx,10,0.7635
LC.xlsx,PDE.xlsx,20,0.8203
ML.xlsx,EQ.xlsx,2,0.6173
ML.xlsx,EQ.xlsx,5,0.6358
ML.xlsx,EQ.xlsx,10,0.6235
ML.xlsx,EQ.xlsx,20,0.6111
ML.xlsx,JDT.xlsx,2,0.7803
ML.xlsx,JDT.xlsx,5,0.7763
ML.xlsx,JDT.xlsx,10,0.8054
ML.xlsx,JDT.xlsx,20,0.8084
ML.xlsx,LC.xlsx,2,0.8683
ML.xlsx,LC.xlsx,5,0.8292
ML.xlsx,LC.xlsx,10,0.8379
ML.xlsx,LC.xlsx,20,0.8886
ML.xlsx,PDE.xlsx,2,0.849
ML.xlsx,PDE.xlsx,5,0.841
ML.xlsx,PDE.xlsx,10,0.8517
ML.xlsx,PDE.xlsx,20,0.8136
PDE.xlsx,EQ.xlsx,2,0.4877
PDE.xlsx,EQ.xlsx,5,0.5278
PDE.xlsx,EQ.xlsx,10,0.5895
PDE.xlsx,EQ.xlsx,20,0.6111
PDE.xlsx,JDT.xlsx,2,0.6269
PDE.xlsx,JDT.xlsx,5,0.7974
PDE.xlsx,JDT.xlsx,10,0.659
PDE.xlsx,JDT.xlsx,20,0.6239
PDE.xlsx,LC.xlsx,2,0.8654
PDE.xlsx,LC.xlsx,5,0.6932
PDE.xlsx,LC.xlsx,10,0.8394
PDE.xlsx,LC.xlsx,20,0.8683
PDE.xlsx,ML.xlsx,2,0.7159
PDE.xlsx,ML.xlsx,5,0.6971
PDE.xlsx,ML.xlsx,10,0.7234
PDE.xlsx,ML.xlsx,20,0.8647
