Source File,Target File,Feature Number,Accuracy
EQ.xlsx,JDT.xlsx,2,0.7503
EQ.xlsx,LC.xlsx,2,0.8929
EQ.xlsx,ML.xlsx,2,0.7009
EQ.xlsx,PDE.xlsx,2,0.8183
JDT.xlsx,EQ.xlsx,2,0.5833
JDT.xlsx,LC.xlsx,2,0.7699
JDT.xlsx,ML.xlsx,2,0.8292
JDT.xlsx,PDE.xlsx,2,0.6733
LC.xlsx,EQ.xlsx,2,0.5648
LC.xlsx,JDT.xlsx,2,0.7172
LC.xlsx,ML.xlsx,2,0.7825
LC.xlsx,PDE.xlsx,2,0.7802
ML.xlsx,EQ.xlsx,2,0.6265
ML.xlsx,JDT.xlsx,2,0.6700
ML.xlsx,LC.xlsx,2,0.8741
ML.xlsx,PDE.xlsx,2,0.6941
PDE.xlsx,EQ.xlsx,2,0.6049
PDE.xlsx,JDT.xlsx,2,0.5617
PDE.xlsx,LC.xlsx,2,0.9074
PDE.xlsx,ML.xlsx,2,0.8491
